law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
Статья 16.3. Несоблюдение запретов и (или) ограничений на ввоз товаров на таможенную территорию Евразийского экономического союза или в Российскую Федерацию и (или) вывоз товаров с таможенной территории Евразийского экономического союза или из Российской Федерации,16.03,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.3. Несоблюдение запретов и (или) ограничений на ввоз товаров на таможенную территорию Евразийского экономического союза или в Российскую Федерацию и (или) вывоз товаров с таможенной территории Евразийского экономического союза или из Российской Федерации,16.03,381,0.4349315068493151,Штраф,1,Штраф
"Статья 15.27. Неисполнение требований законодательства о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",15.27,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 15.27. Неисполнение требований законодательства о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",15.27,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 15.27. Неисполнение требований законодательства о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",15.27,0,0.0,Конфискация,4,Конфискация
"Статья 15.27. Неисполнение требований законодательства о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",15.27,37,0.15416666666666667,Приостановление деятельности,2,Приостановление деятельности
"Статья 15.27. Неисполнение требований законодательства о противодействии легализации (отмыванию) доходов, полученных преступным путем, и финансированию терроризма",15.27,203,0.8458333333333333,Штраф,1,Штраф
"Статья 14.19. Нарушение государственного учета в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции",14.19,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 14.19. Нарушение государственного учета в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции",14.19,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 14.19. Нарушение государственного учета в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции",14.19,0,0.0,Конфискация,4,Конфискация
"Статья 14.19. Нарушение государственного учета в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции",14.19,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 14.19. Нарушение государственного учета в области производства и оборота этилового спирта, алкогольной и спиртосодержащей продукции",14.19,403,1.0,Штраф,1,Штраф
Статья 16.16. Нарушение сроков временного хранения товаров,16.16,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 16.16. Нарушение сроков временного хранения товаров,16.16,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 16.16. Нарушение сроков временного хранения товаров,16.16,6,0.023076923076923078,Конфискация,4,Конфискация
Статья 16.16. Нарушение сроков временного хранения товаров,16.16,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 16.16. Нарушение сроков временного хранения товаров,16.16,254,0.9769230769230769,Штраф,1,Штраф
